iter	Logloss
0	0.580670897
1	0.4934428663
2	0.4279692485
3	0.3792810996
4	0.342059603
5	0.3143002531
6	0.2929697694
7	0.2766760576
8	0.2641938552
9	0.2549749455
10	0.2477139282
11	0.2415242005
12	0.2367207438
13	0.2329693643
14	0.2301971049
15	0.2276376255
16	0.2259263157
17	0.2245702474
18	0.2234360537
19	0.2226594535
20	0.2220433806
21	0.220393738
22	0.2188079318
23	0.2175395734
24	0.2168053206
25	0.2161167149
26	0.2155300691
27	0.214839487
28	0.2144141791
29	0.2141649809
30	0.2139034415
31	0.2135973398
32	0.2132842364
33	0.2130137672
34	0.2127223526
35	0.2124935511
36	0.2123166927
37	0.2121492769
38	0.212004645
39	0.2118571964
40	0.2116822622
41	0.2116166828
42	0.2115296854
43	0.2114778885
44	0.2113662278
45	0.2112288281
46	0.2111120715
47	0.2108710672
48	0.2108165336
49	0.2107497081
50	0.2107385218
51	0.2106669532
52	0.2106048718
53	0.2105379422
54	0.2105163999
55	0.2104731349
56	0.210415146
57	0.2103928355
58	0.2103736683
59	0.2103630476
60	0.2102941588
61	0.2102549315
62	0.2102325334
63	0.2102091809
64	0.2101603073
65	0.2101213548
66	0.210118279
67	0.2101182523
68	0.210074131
69	0.2100590154
70	0.210018552
71	0.2096863316
72	0.2096863206
73	0.209647677
74	0.2096353542
75	0.2096183185
76	0.2096183185
77	0.2096182874
78	0.2095886096
79	0.2095263743
80	0.2095071331
81	0.2092576025
82	0.2092558965
83	0.2091910811
84	0.209169763
85	0.2091695283
86	0.2089594752
87	0.2089499665
88	0.2089436633
89	0.2089149717
90	0.2089133054
91	0.2088879684
92	0.2088500975
93	0.2086988804
94	0.2086866157
95	0.2085480655
96	0.2085377297
97	0.2085377297
98	0.2084085658
99	0.2084018934
