iter	Passed	Remaining
0	109	10800
1	202	9927
2	275	8906
3	342	8227
4	408	7769
5	454	7125
6	499	6631
7	569	6549
8	615	6222
9	669	6025
10	747	6050
11	802	5888
12	872	5838
13	930	5716
14	961	5446
15	1018	5349
16	1045	5106
17	1074	4893
18	1111	4739
19	1144	4578
20	1170	4403
21	1236	4384
22	1302	4360
23	1367	4329
24	1436	4310
25	1515	4313
26	1584	4283
27	1649	4242
28	1707	4180
29	1764	4116
30	1805	4017
31	1877	3989
32	1935	3929
33	1998	3879
34	2055	3817
35	2125	3777
36	2190	3728
37	2246	3664
38	2303	3602
39	2379	3569
40	2438	3508
41	2495	3445
42	2554	3386
43	2630	3347
44	2701	3302
45	2770	3252
46	2823	3184
47	2899	3141
48	2956	3076
49	3056	3056
50	3132	3009
51	3196	2950
52	3257	2888
53	3317	2825
54	3385	2769
55	3470	2727
56	3529	2662
57	3600	2607
58	3713	2580
59	3858	2572
60	3991	2552
61	4099	2512
62	4180	2455
63	4268	2400
64	4356	2345
65	4452	2293
66	4555	2243
67	4610	2169
68	4685	2104
69	4772	2045
70	4852	1981
71	4955	1927
72	5058	1870
73	5191	1824
74	5275	1758
75	5349	1689
76	5407	1615
77	5490	1548
78	5571	1481
79	5652	1413
80	5711	1339
81	5788	1270
82	5868	1202
83	5951	1133
84	6038	1065
85	6103	993
86	6174	922
87	6246	851
88	6303	779
89	6365	707
90	6424	635
91	6484	563
92	6540	492
93	6603	421
94	6660	350
95	6716	279
96	6786	209
97	6834	139
98	6905	69
99	6953	0
